hour_num,n,mean_cnt,median_cnt,mean_casual,mean_registered
0,726,53.89807162534423,40,10.158402203856745,43.73966942148758
1,724,33.37569060773483,20,6.504143646408833,26.87154696132602
2,715,22.86993006993012,11,4.772027972027972,18.097902097902114
3,697,11.72740315638449,6,2.7159253945480613,9.011477761836451
4,697,6.352941176470579,6,1.2539454806312786,5.098995695839296
5,717,19.88981868898184,19,1.4114365411436554,18.47838214783826
6,725,76.04413793103471,76,4.161379310344821,71.8827586206895
7,727,212.06464924346582,208,11.055020632737266,201.00962861072892
8,727,359.0110041265472,385,21.679504814305375,337.3314993122433
9,727,219.30949105914715,216,30.89133425034394,188.41815680880387
10,727,173.6685006877577,147,46.477303988995764,127.19119669876171
11,727,208.14305364511722,180,59.54057771664379,148.60247592847284
12,728,253.31593406593433,229,68.29395604395602,185.02197802197827
13,729,253.66117969821642,224,72.30864197530849,181.35253772290753
14,729,240.9492455418385,212,75.56790123456773,165.3813443072701
15,729,251.2331961591217,227,74.90534979423872,176.3278463648833
16,730,311.9835616438354,304.5,73.745205479452,238.23835616438342
17,730,461.45205479452,475,74.27397260273982,387.17808219178085
18,728,425.51098901098914,418.5,61.12087912087907,364.3901098901088
19,728,311.5233516483508,309.5,48.77060439560441,262.7527472527473
20,728,226.0302197802201,223.5,36.23351648351656,189.79670329670375
21,728,172.31456043955987,173.5,28.25549450549454,144.05906593406647
22,728,131.3351648351647,129,22.252747252747277,109.08241758241756
23,728,87.83104395604403,80,15.199175824175798,72.63186813186822
